Times,male,female,total,provinceNameThai
2015-01-31,4020,3763,7783,กรุงเทพมหานคร
2015-01-31,88,75,163,สิงห์บุรี
2015-01-31,379,340,719,ระยอง
2015-01-31,492,509,1001,สมุทรสาคร
2015-01-31,147,125,272,ลำพูน
2015-01-31,308,298,606,กาฬสินธุ์
2015-01-31,142,126,268,อุทัยธานี
2015-01-31,312,302,614,ฉะเชิงเทรา
2015-01-31,664,591,1255,อุดรธานี
2015-01-31,165,137,302,น่าน
2015-01-31,135,130,265,อำนาจเจริญ
2015-01-31,371,391,762,นนทบุรี
2015-01-31,476,493,969,ยะลา
2015-01-31,617,588,1205,บุรีรัมย์
2015-01-31,320,308,628,เพชรบูรณ์
2015-01-31,894,851,1745,สงขลา
2015-01-31,396,392,788,นครสวรรค์
2015-01-31,332,346,678,นครปฐม
2015-01-31,213,193,406,ปราจีนบุรี
2015-01-31,127,127,254,พังงา
2015-01-31,644,572,1216,สุราษฎร์ธานี
2015-01-31,945,871,1816,เชียงใหม่
2015-01-31,492,436,928,สกลนคร
2015-01-31,280,245,525,ชุมพร
2015-01-31,84,92,176,ชัยนาท
2015-01-31,1077,980,2057,นครราชสีมา
2015-01-31,376,387,763,ราชบุรี
2015-01-31,676,570,1246,สมุทรปราการ
2015-01-31,534,502,1036,นราธิวาส
2015-01-31,770,705,1475,ขอนแก่น
2015-01-31,486,459,945,เชียงราย
2015-01-31,215,163,378,บึงกาฬ
2015-01-31,199,181,380,พิจิตร
2015-01-31,519,535,1054,สุรินทร์
2015-01-31,367,313,680,ภูเก็ต
2015-01-31,95,97,192,อ่างทอง
2015-01-31,356,308,664,ตรัง
2015-01-31,197,184,381,หนองคาย
2015-01-31,142,129,271,แพร่
2015-01-31,771,789,1560,อุบลราชธานี
2015-01-31,161,161,322,สุโขทัย
2015-01-31,448,380,828,ตาก
2015-01-31,191,190,381,ยโสธร
2015-01-31,129,131,260,อุตรดิตถ์
2015-01-31,278,285,563,มหาสารคาม
2015-01-31,186,169,355,เพชรบุรี
2015-01-31,262,261,523,จันทบุรี
2015-01-31,211,195,406,สตูล
2015-01-31,269,287,556,ลพบุรี
2015-01-31,298,287,585,พระนครศรีอยุธยา
2015-01-31,189,207,396,พัทลุง
2015-01-31,1293,1254,2547,ชลบุรี
2015-01-31,320,281,601,สระบุรี
2015-01-31,493,443,936,ปัตตานี
2015-01-31,435,432,867,ปทุมธานี
2015-01-31,119,79,198,ตราด
2015-01-31,61,47,108,สมุทรสงคราม
2015-01-31,372,393,765,ชัยภูมิ
2015-01-31,343,316,659,สุพรรณบุรี
2015-01-31,231,218,449,กำแพงเพชร
2015-01-31,201,183,384,ลำปาง
2015-01-31,145,160,305,พะเยา
2015-01-31,282,262,544,เลย
2015-01-31,322,321,643,พิษณุโลก
2015-01-31,512,504,1016,ศรีสะเกษ
2015-01-31,306,300,606,กระบี่
2015-01-31,406,416,822,ร้อยเอ็ด
2015-01-31,163,145,308,นครนายก
2015-01-31,279,269,548,ประจวบคีรีขันธ์
2015-01-31,769,713,1482,นครศรีธรรมราช
2015-01-31,145,129,274,แม่ฮ่องสอน
2015-01-31,113,111,224,ระนอง
2015-01-31,199,221,420,หนองบัวลำภู
2015-01-31,341,339,680,กาญจนบุรี
2015-01-31,223,243,466,สระแก้ว
2015-01-31,140,160,300,มุกดาหาร
2015-01-31,222,232,454,นครพนม
2015-02-28,225,223,448,ชุมพร
2015-02-28,254,242,496,เพชรบูรณ์
2015-02-28,252,243,495,กระบี่
2015-02-28,304,295,599,นครสวรรค์
2015-02-28,134,114,248,แม่ฮ่องสอน
2015-02-28,637,569,1206,นครศรีธรรมราช
2015-02-28,1094,1057,2151,ชลบุรี
2015-02-28,187,157,344,พัทลุง
2015-02-28,882,813,1695,นครราชสีมา
2015-02-28,325,271,596,นครปฐม
2015-02-28,299,305,604,พระนครศรีอยุธยา
2015-02-28,199,162,361,ปราจีนบุรี
2015-02-28,126,142,268,พังงา
2015-02-28,235,199,434,ลพบุรี
2015-02-28,106,108,214,อุตรดิตถ์
2015-02-28,157,158,315,สตูล
2015-02-28,231,241,472,มหาสารคาม
2015-02-28,797,814,1611,เชียงใหม่
2015-02-28,414,361,775,สกลนคร
2015-02-28,518,527,1045,สุราษฎร์ธานี
2015-02-28,191,161,352,จันทบุรี
2015-02-28,87,83,170,ชัยนาท
2015-02-28,180,158,338,เพชรบุรี
2015-02-28,183,168,351,นครพนม
2015-02-28,92,95,187,ระนอง
2015-02-28,541,461,1002,บุรีรัมย์
2015-02-28,423,367,790,ศรีสะเกษ
2015-02-28,398,416,814,สุรินทร์
2015-02-28,753,757,1510,สงขลา
2015-02-28,56,69,125,สิงห์บุรี
2015-02-28,261,250,511,สระบุรี
2015-02-28,326,320,646,ภูเก็ต
2015-02-28,385,403,788,ปัตตานี
2015-02-28,203,190,393,สระแก้ว
2015-02-28,423,419,842,สมุทรสาคร
2015-02-28,419,394,813,ปทุมธานี
2015-02-28,118,121,239,ลำพูน
2015-02-28,276,256,532,กาฬสินธุ์
2015-02-28,93,69,162,ตราด
2015-02-28,301,284,585,กาญจนบุรี
2015-02-28,155,149,304,หนองบัวลำภู
2015-02-28,87,91,178,อุทัยธานี
2015-02-28,281,270,551,ฉะเชิงเทรา
2015-02-28,271,276,547,ชัยภูมิ
2015-02-28,201,177,378,กำแพงเพชร
2015-02-28,517,460,977,อุดรธานี
2015-02-28,124,115,239,น่าน
2015-02-28,325,271,596,ร้อยเอ็ด
2015-02-28,151,133,284,ลำปาง
2015-02-28,93,119,212,อำนาจเจริญ
2015-02-28,131,112,243,พะเยา
2015-02-28,210,187,397,เลย
2015-02-28,344,335,679,นนทบุรี
2015-02-28,409,384,793,ยะลา
2015-02-28,271,282,553,พิษณุโลก
2015-02-28,46,47,93,สมุทรสงคราม
2015-02-28,398,326,724,ราชบุรี
2015-02-28,151,128,279,พิจิตร
2015-02-28,59,91,150,อ่างทอง
2015-02-28,134,133,267,ยโสธร
2015-02-28,3566,3288,6854,กรุงเทพมหานคร
2015-02-28,141,112,253,มุกดาหาร
2015-02-28,271,250,521,ตรัง
2015-02-28,411,380,791,เชียงราย
2015-02-28,592,543,1135,ขอนแก่น
2015-02-28,330,288,618,ตาก
2015-02-28,637,574,1211,อุบลราชธานี
2015-02-28,156,147,303,หนองคาย
2015-02-28,139,121,260,นครนายก
2015-02-28,136,147,283,บึงกาฬ
2015-02-28,276,288,564,สุพรรณบุรี
2015-02-28,255,222,477,ประจวบคีรีขันธ์
2015-02-28,104,89,193,แพร่
2015-02-28,437,430,867,นราธิวาส
2015-02-28,326,296,622,ระยอง
2015-02-28,131,150,281,สุโขทัย
2015-02-28,555,493,1048,สมุทรปราการ
2015-03-31,423,377,800,นนทบุรี
2015-03-31,215,225,440,เลย
2015-03-31,195,179,374,หนองคาย
2015-03-31,128,128,256,พะเยา
2015-03-31,165,168,333,หนองบัวลำภู
2015-03-31,433,419,852,ยะลา
2015-03-31,122,127,249,อำนาจเจริญ
2015-03-31,173,171,344,ยโสธร
2015-03-31,425,458,883,ศรีสะเกษ
2015-03-31,199,230,429,กำแพงเพชร
2015-03-31,551,520,1071,บุรีรัมย์
2015-03-31,303,270,573,เพชรบูรณ์
