Age,male,female,male(not Thai),female(not Thai),Times,total (Thai),total (not Thai),total
0,361751,341173,19214,18148,2015-05-31,702924,37362,740286
1,375332,353923,17954,16998,2015-05-31,729255,34952,764207
2,406329,382873,14284,13178,2015-05-31,789202,27462,816664
3,411107,387323,8525,7851,2015-05-31,798430,16376,814806
4,386174,365656,5027,4742,2015-05-31,751830,9769,761599
5,395641,373553,3247,2970,2015-05-31,769194,6217,775411
6,400854,378186,3308,3089,2015-05-31,779040,6397,785437
7,404384,382150,3239,3040,2015-05-31,786534,6279,792813
8,411375,387811,2984,2800,2015-05-31,799186,5784,804970
9,408973,386160,2840,2650,2015-05-31,795133,5490,800623
10,416475,395054,3107,2948,2015-05-31,811529,6055,817584
11,410220,388275,3596,3339,2015-05-31,798495,6935,805430
12,404651,382649,2850,2644,2015-05-31,787300,5494,792794
13,406402,385145,2694,2498,2015-05-31,791547,5192,796739
14,421444,400159,2247,2067,2015-05-31,821603,4314,825917
15,433986,410874,1956,1967,2015-05-31,844860,3923,848783
16,436045,414329,2238,2153,2015-05-31,850374,4391,854765
17,490411,467183,2529,2322,2015-05-31,957594,4851,962445
18,506683,482783,2395,2307,2015-05-31,989466,4702,994168
19,500068,476863,1791,1802,2015-05-31,976931,3593,980524
20,493597,470667,1754,1712,2015-05-31,964264,3466,967730
21,483662,464702,1918,1887,2015-05-31,948364,3805,952169
22,486790,466626,1988,1865,2015-05-31,953416,3853,957269
23,495734,477086,1551,1504,2015-05-31,972820,3055,975875
24,488043,469656,1621,1593,2015-05-31,957699,3214,960913
25,471372,456112,1448,1472,2015-05-31,927484,2920,930404
26,463740,448697,1489,1533,2015-05-31,912437,3022,915459
27,441336,429923,1406,1321,2015-05-31,871259,2727,873986
28,458323,448796,1725,1651,2015-05-31,907119,3376,910495
29,477609,468016,1531,1638,2015-05-31,945625,3169,948794
30,488690,481410,1534,1678,2015-05-31,970100,3212,973312
31,486481,479677,1843,2148,2015-05-31,966158,3991,970149
32,508522,504171,1746,2053,2015-05-31,1012693,3799,1016492
33,521261,517728,1959,2278,2015-05-31,1038989,4237,1043226
34,519322,516871,2465,2899,2015-05-31,1036193,5364,1041557
35,524151,524317,2230,2491,2015-05-31,1048468,4721,1053189
36,516381,517394,2989,3333,2015-05-31,1033775,6322,1040097
37,511585,517669,2169,2298,2015-05-31,1029254,4467,1033721
38,538752,548760,2505,2807,2015-05-31,1087512,5312,1092824
39,511481,522473,2540,2626,2015-05-31,1033954,5166,1039120
40,524911,540929,2463,2667,2015-05-31,1065840,5130,1070970
41,518483,536236,3340,3218,2015-05-31,1054719,6558,1061277
42,510542,535575,2754,2725,2015-05-31,1046117,5479,1051596
43,526344,553002,2645,2521,2015-05-31,1079346,5166,1084512
44,538421,570446,2976,2954,2015-05-31,1108867,5930,1114797
45,511095,544252,2415,2380,2015-05-31,1055347,4795,1060142
46,515665,556016,3407,3297,2015-05-31,1071681,6704,1078385
47,523839,561433,2497,2055,2015-05-31,1085272,4552,1089824
48,484442,524062,2501,2179,2015-05-31,1008504,4680,1013184
49,502288,548115,2545,2161,2015-05-31,1050403,4706,1055109
50,493968,542531,2430,2016,2015-05-31,1036499,4446,1040945
51,470952,515747,2965,2455,2015-05-31,986699,5420,992119
52,454493,495301,2557,1980,2015-05-31,949794,4537,954331
53,448375,489073,2241,1611,2015-05-31,937448,3852,941300
54,419996,463140,2650,2077,2015-05-31,883136,4727,887863
55,423961,471889,2237,1525,2015-05-31,895850,3762,899612
